"","Project","Zone","Grid","Depth_cm","Event_Time","Time_of_day","Source","Volume_mL","Collection_Date","Evacuation_Date","Collection_Start_Time_24hrs","Collection_End_Time_24hrs","Sample_ID","NH3_uM","PO4_uM","NOx_uM","NH3_range","PO4_range","NOx_range","Run_notes","Field_notes"
"72","TEMPEST","FW","H6","15cm",NA,NA,"PW",7.5,"20230612",20230608,1543,1018,"TMP_FW_H6_20230612_15cm","0.910778413187974","0.341122462821364","1.14687970756852","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"73","TEMPEST","FW","H6","15cm",NA,NA,"PW",6,"20230617",20230614,1549,1234,"TMP_FW_H6_20230617_15cm","0.698308666566715","0.333054895157318","1.05271048855191","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"74","TEMPEST","FW","H6","15cm",NA,NA,"PW",8,"20230710",20230707,932,1025,"TMP_FW_H6_20230710_15cm","2.84149728344292","0.309494741802138","1.0191551186218","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"75","TEMPEST","FW","I5","15cm",NA,NA,"PW",8,"20230614",20230612,1009,1536,"TMP_FW_I5_20230614_15cm","0.295430044193136","0.411517345270478","0.58500574724953","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"76","TEMPEST","FW","I5","15cm",NA,NA,"PW",6,"20230617",20230614,1536,1225,"TMP_FW_I5_20230617_15cm","0.506329113924051","0.389456474401536","0.721440453497255","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"77","TEMPEST","FW","I5","15cm",NA,NA,"PW",8,"20230627",20230623,1336,1054,"TMP_FW_I5_20230627_15cm","1.10839812375506","0.428223635831424","0.368680702806514","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"78","TEMPEST","FW","I5","15cm",NA,NA,"PW",8,"20230710",20230707,920,1018,"TMP_FW_I5_20230710_15cm","21.7704384330356","0.439432557276161","2.65979852499161","Within_Range","Within_Range","Within_Range","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"79","TEMPEST","FW","I5","15cm",NA,NA,"PW",8,"20230807",20230804,1305,845,"TMP_FW_I5_20230807_15cm","1.98476443416365","0.517038274540042","0.690241098902668","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"80","TEMPEST","FW","I5","15cm",NA,NA,"PW",7,"20231002",20230929,1550,933,"TMP_FW_I5_20231002_15cm","2.62046020832887","0.530174844895657","0.866156910621345","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"81","TEMPEST","FW","I5","15cm",NA,NA,"PW",6,"20231208",20231205,1122,1156,"TMP_FW_I5_20231208_15cm","0.209114209628249","0.27936630326915","0.618132750754996","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"82","TEMPEST","SW","B4","15cm",NA,NA,"PW",8,"20230612",20230608,1415,935,"TMP_SW_B4_20230612_15cm","1.76351317583728","0.254521050640051","0.765704984043351","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"83","TEMPEST","SW","B4","15cm",NA,NA,"PW",8,"20230614",20230612,935,1214,"TMP_SW_B4_20230614_15cm","1.99625893322481","0.296715143467055","0.560945833065604","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"84","TEMPEST","SW","B4","15cm",NA,NA,"PW",6,"20230617",20230614,1214,1133,"TMP_SW_B4_20230617_15cm","1.79235651509635","0.333054895157318","0.566800174202346","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"85","TEMPEST","SW","B4","15cm",NA,NA,"PW",8,"20230627",20230623,1239,1431,"TMP_SW_B4_20230627_15cm","7.08218209856711","0.249166470332055","0.922415701057351","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606","Clear"
"86","TEMPEST","SW","B4","15cm",NA,NA,"PW",6,"20230707",20230705,1239,1020,"TMP_SW_B4_20230707_15cm","17.5627378326087","0.33027051339716","1.6070166420356","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"87","TEMPEST","SW","B4","15cm",NA,NA,"PW",8,"20230810",20230807,1058,1120,"TMP_SW_B4_20230810_15cm","31.7153933474694","3.62983429358807","3.8365924878808","Within_Range","Within_Range","Within_Range","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606","very yellow"
"88","TEMPEST","SW","B4","15cm",NA,NA,"PW",8,"20231211",20231208,1031,1149,"TMP_SW_B4_20231211_15cm","5.83877715664646","2.56598627799553","1.92557847315927","Within_Range","Within_Range","Within_Range","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606","yellow"
"89","TEMPEST","SW","C3","15cm",NA,NA,"PW",8,"20230614",20230612,848,1201,"TMP_SW_C3_20230614_15cm","10.6431921865964","0.329485174951987","1.36805957149079","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"90","TEMPEST","SW","C3","15cm",NA,NA,"PW",6.5,"20230617",20230614,1201,1048,"TMP_SW_C3_20230617_15cm","15.6679303476194","0.395881970771131","1.65377997672542","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"91","TEMPEST","SW","C3","15cm",NA,NA,"PW",8,"20230627",20230623,1235,1442,"TMP_SW_C3_20230627_15cm","1.15587540248595","0.269228297886012","1.01101615655365","bdl","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606","Clear"
"92","TEMPEST","SW","C3","15cm",NA,NA,"PW",6,"20230707",20230705,1235,1031,"TMP_SW_C3_20230707_15cm","2.64466291132101","0.361112895971214","1.42239071301591","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
"93","TEMPEST","SW","C3","15cm",NA,NA,"PW",8,"20230807",20230804,1221,1104,"TMP_SW_C3_20230807_15cm","1.5983779191387","0.320418085630448","0.731792642092713","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606","clear"
"94","TEMPEST","SW","C3","15cm",NA,NA,"PW",7,"20231002",20230929,1113,1138,"TMP_SW_C3_20231002_15cm","1.47165285184947","0.359827796697295","1.08490936480399","Within_Range","Within_Range","bdl","Some sample IDs are missing from metadata:
TMP_SW_H6_20230606",NA
